image_id,relative_path,label,split,group_id,group_source,file_extension,width,height,channels
img_e8b226d2d2ec9f66,Erste Bearbeitungssufe Viertel/_DSC0162_q1.JPG,Erste Bearbeitungssufe Viertel,val,DSC0162,quarter_suffix_removed,.jpg,1824,1824,3
img_1a884a058818448d,Erste Bearbeitungssufe Viertel/_DSC0162_q4.JPG,Erste Bearbeitungssufe Viertel,val,DSC0162,quarter_suffix_removed,.jpg,1824,1824,3
img_503bb8b85a99871e,Erste Bearbeitungssufe Viertel/_DSC0167_q4.JPG,Erste Bearbeitungssufe Viertel,train,DSC0167,quarter_suffix_removed,.jpg,1824,1824,3
img_373a1b2c9c97fa4c,Erste Bearbeitungssufe Viertel/_DSC0168_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0168,quarter_suffix_removed,.jpg,1824,1824,3
img_cbfdae5df51e10ae,Erste Bearbeitungssufe Viertel/_DSC0171_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0171,quarter_suffix_removed,.jpg,1824,1824,3
img_d137319bbb256f53,Erste Bearbeitungssufe Viertel/_DSC0171_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0171,quarter_suffix_removed,.jpg,1824,1824,3
img_6c6822d76c7a9dcf,Erste Bearbeitungssufe Viertel/_DSC0171_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0171,quarter_suffix_removed,.jpg,1824,1824,3
img_d63355e237b6af6d,Erste Bearbeitungssufe Viertel/_DSC0172_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0172,quarter_suffix_removed,.jpg,1824,1824,3
img_93d76a8b3bf68979,Erste Bearbeitungssufe Viertel/_DSC0173_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0173,quarter_suffix_removed,.jpg,1824,1824,3
img_272a32eebe6bba29,Erste Bearbeitungssufe Viertel/_DSC0173_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0173,quarter_suffix_removed,.jpg,1824,1824,3
img_8a921fc100ffbda6,Erste Bearbeitungssufe Viertel/_DSC0173_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0173,quarter_suffix_removed,.jpg,1824,1824,3
img_104f41e5cbaf8145,Erste Bearbeitungssufe Viertel/_DSC0174_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0174,quarter_suffix_removed,.jpg,1824,1824,3
img_632e08f64bd53e78,Erste Bearbeitungssufe Viertel/_DSC0174_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0174,quarter_suffix_removed,.jpg,1824,1824,3
img_292b7a5eef1571d8,Erste Bearbeitungssufe Viertel/_DSC0176_q2.JPG,Erste Bearbeitungssufe Viertel,val,DSC0176,quarter_suffix_removed,.jpg,1824,1824,3
img_cf8e24ea2bf40182,Erste Bearbeitungssufe Viertel/_DSC0176_q3.JPG,Erste Bearbeitungssufe Viertel,val,DSC0176,quarter_suffix_removed,.jpg,1824,1824,3
img_fa52931e2646e1ac,Erste Bearbeitungssufe Viertel/_DSC0176_q4.JPG,Erste Bearbeitungssufe Viertel,val,DSC0176,quarter_suffix_removed,.jpg,1824,1824,3
img_5f31bf4daf006c51,Erste Bearbeitungssufe Viertel/_DSC0179_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0179,quarter_suffix_removed,.jpg,1824,1824,3
img_12fcb91619ac53a5,Erste Bearbeitungssufe Viertel/_DSC0180_q4.JPG,Erste Bearbeitungssufe Viertel,train,DSC0180,quarter_suffix_removed,.jpg,1824,1824,3
img_206a98a92fd32669,Erste Bearbeitungssufe Viertel/_DSC0181_q2.JPG,Erste Bearbeitungssufe Viertel,val,DSC0181,quarter_suffix_removed,.jpg,1824,1824,3
img_93c172caff8c23f3,Erste Bearbeitungssufe Viertel/_DSC0184_q1.JPG,Erste Bearbeitungssufe Viertel,test,DSC0184,quarter_suffix_removed,.jpg,1824,1824,3
img_98e769b8f2e0d743,Erste Bearbeitungssufe Viertel/_DSC0187_q4.JPG,Erste Bearbeitungssufe Viertel,train,DSC0187,quarter_suffix_removed,.jpg,1824,1824,3
img_73b70d1cb734765a,Erste Bearbeitungssufe Viertel/_DSC0188_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0188,quarter_suffix_removed,.jpg,1824,1824,3
img_a835be1e08bed8b5,Erste Bearbeitungssufe Viertel/_DSC0189_q1.JPG,Erste Bearbeitungssufe Viertel,test,DSC0189,quarter_suffix_removed,.jpg,1824,1824,3
img_fa0e96b9d79e2de3,Erste Bearbeitungssufe Viertel/_DSC0189_q3.JPG,Erste Bearbeitungssufe Viertel,test,DSC0189,quarter_suffix_removed,.jpg,1824,1824,3
img_47cbd799afa4b006,Erste Bearbeitungssufe Viertel/_DSC0190_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0190,quarter_suffix_removed,.jpg,1824,1824,3
img_85f583ae615fa656,Erste Bearbeitungssufe Viertel/_DSC0192_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0192,quarter_suffix_removed,.jpg,1824,1824,3
img_aaa01dcf0423946e,Erste Bearbeitungssufe Viertel/_DSC0194_q3.JPG,Erste Bearbeitungssufe Viertel,val,DSC0194,quarter_suffix_removed,.jpg,1824,1824,3
img_689d729c4f25fdf2,Erste Bearbeitungssufe Viertel/_DSC0195_q1.JPG,Erste Bearbeitungssufe Viertel,test,DSC0195,quarter_suffix_removed,.jpg,1824,1824,3
img_d32d0e326dc1f8a9,Erste Bearbeitungssufe Viertel/_DSC0196_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0196,quarter_suffix_removed,.jpg,1824,1824,3
img_5781a81f860ca295,Erste Bearbeitungssufe Viertel/_DSC0197_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0197,quarter_suffix_removed,.jpg,1824,1824,3
img_c82987f498691dbe,Erste Bearbeitungssufe Viertel/_DSC0197_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0197,quarter_suffix_removed,.jpg,1824,1824,3
img_7503845b2ee9f345,Erste Bearbeitungssufe Viertel/_DSC0201_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0201,quarter_suffix_removed,.jpg,1824,1824,3
img_fbd220316ee22382,Erste Bearbeitungssufe Viertel/_DSC0205_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0205,quarter_suffix_removed,.jpg,1824,1824,3
img_24886f2a5492af92,Erste Bearbeitungssufe Viertel/_DSC0205_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0205,quarter_suffix_removed,.jpg,1824,1824,3
img_d3dacdaabf14ea7f,Erste Bearbeitungssufe Viertel/_DSC0209_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0209,quarter_suffix_removed,.jpg,1824,1824,3
img_a783cb01c6317bab,Erste Bearbeitungssufe Viertel/_DSC0210_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0210,quarter_suffix_removed,.jpg,1824,1824,3
img_eda932bd4f166cf2,Erste Bearbeitungssufe Viertel/_DSC0211_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0211,quarter_suffix_removed,.jpg,1824,1824,3
img_311351d6568eecb6,Erste Bearbeitungssufe Viertel/_DSC0213_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0213,quarter_suffix_removed,.jpg,1824,1824,3
img_5fd0799e171602f8,Erste Bearbeitungssufe Viertel/_DSC0213_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0213,quarter_suffix_removed,.jpg,1824,1824,3
img_dca12be00b4991c1,Erste Bearbeitungssufe Viertel/_DSC0215_q4.JPG,Erste Bearbeitungssufe Viertel,val,DSC0215,quarter_suffix_removed,.jpg,1824,1824,3
img_750e82c73a6d941f,Erste Bearbeitungssufe Viertel/_DSC0449_q4.JPG,Erste Bearbeitungssufe Viertel,train,DSC0449,quarter_suffix_removed,.jpg,1824,1824,3
img_121a46fda666fb82,Erste Bearbeitungssufe Viertel/_DSC0455_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0455,quarter_suffix_removed,.jpg,1824,1824,3
img_8d1b777952dc3767,Erste Bearbeitungssufe Viertel/_DSC0456_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0456,quarter_suffix_removed,.jpg,1824,1824,3
img_c89ef962d7bf25c6,Erste Bearbeitungssufe Viertel/_DSC0460_q1.JPG,Erste Bearbeitungssufe Viertel,train,DSC0460,quarter_suffix_removed,.jpg,1824,1824,3
img_b3cc6fe83fc855e6,Erste Bearbeitungssufe Viertel/_DSC0460_q2.JPG,Erste Bearbeitungssufe Viertel,train,DSC0460,quarter_suffix_removed,.jpg,1824,1824,3
img_c911a2e47a922440,Erste Bearbeitungssufe Viertel/_DSC0460_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC0460,quarter_suffix_removed,.jpg,1824,1824,3
img_57e7ed87ff3b1ecc,Erste Bearbeitungssufe Viertel/_DSC0460_q4.JPG,Erste Bearbeitungssufe Viertel,train,DSC0460,quarter_suffix_removed,.jpg,1824,1824,3
img_ddaee339cc92b94c,Erste Bearbeitungssufe Viertel/_DSC1051_q3.JPG,Erste Bearbeitungssufe Viertel,train,DSC1051,quarter_suffix_removed,.jpg,1824,1824,3
img_643f37afd6cc85da,Erste Bearbeitungssufe Viertel/_DSC1051_q4.JPG,Erste Bearbeitungssufe Viertel,train,DSC1051,quarter_suffix_removed,.jpg,1824,1824,3
